,Year,Winner,Rank,Time,Distance,winnerpace,Hours,Minutes,Seconds,Team,RiderNumber,TotalSeconds,Gap,Number of Stages,ListedAvgPace,edition,winner_team,time_overall,time_margin,stage_wins,stages_led,height(meters),age,nickname,nationality,weight(lbs),count
4,2017,CHRIS FROOME,1,86h 20' 55'',2200.124301,40.99660613,86,20,55,TEAM SKY,1,310855,-,42,40.995,104,Team Sky,86.34861111,0.015,0,15,1.86,32,Froomey, Great Britain,152.145,1
5,2016,CHRIS FROOME,1,89h 04' 48'',2190.80174,39.57117198,89,4,48,TEAM SKY,1,320688,-,42,39.571,103,Team Sky,89.08,0.067777778,2,14,1.86,31,Froomey, Great Britain,152.145,1
6,2015,CHRIS FROOME,1,84h 46' 14'',2084.524549,39.56562486,84,46,14,TEAM SKY,31,305174,-,42,39.567,102,Team Sky,84.77055556,0.016944444,1,16,1.86,30,Froomey, Great Britain,152.145,1
7,2014,VINCENZO NIBALI,1,89h 59' 06'',2274.083282,40.66233261,89,59,6,ASTANA PRO TEAM,41,323946,-,42,40.662,101,Astana,89.985,0.118611111,4,19,1.8,29,"Lo Squalo (The Shark), 'il Roditore' (The Nibbler)", Italy,143.325,1
8,2013,CHRIS FROOME,1,83h 56' 40'',2115.599751,40.55062872,83,56,40,SKY PROCYCLING,1,302200,-,42,40.542,100,Team Sky,83.93888889,0.067777778,3,14,1.86,28,Froomey, Great Britain,152.145,1
9,2012,BRADLEY WIGGINS,1,87h 34' 47'',2173.399627,39.92933423,87,34,47,SKY PROCYCLING,101,315287,-,42,39.883,99,Team Sky,87.57972222,0.050833333,2,14,1.9,32,Wiggo, Great Britain,152.145,1
10,2011,CADEL EVANS,1,86h 12' 22'',2256.059664,42.10838365,86,12,22,BMC RACING TEAM,141,310342,-,42,39.788,98,BMC Racing Team,86.20611111,0.016944444,1,2,1.74,34,, Australia,141.12,1
11,2010,ANDY SCHLECK,1,91h 59' 27'',2263.517713,39.59090127,91,59,27,TEAM SAXO BANK,11,331167,-,42,39.594,97,Team Saxo Bank,91.99083333,0.016944444,2,12,1.86,25,, Luxembourg,149.94,1
12,2009,ALBERTO CONTADOR,1,85h 48' 35'',2150.403978,40.32177136,85,48,35,ASTANA,21,308915,-,42,40.315,96,Astana,85.80972222,0.067777778,2,7,1.76,26,El Pistolero, Spain,136.71,1
13,2008,CARLOS SASTRE,1,87h 52' 52'',2211.932878,40.49789488,87,52,52,TEAM CSC SAXO BANK,11,316372,-,42,40.492,95,Team CSC,87.88111111,0.016111111,1,5,1.73,33,, Spain,132.3,1
14,2007,ALBERTO CONTADOR,1,91h 00' 26'',2218.769422,39.22765592,91,0,26,DISCOVERY CHANNEL TEAM,112,327626,-,42,39.228,94,Discovery Channel,91.00722222,0.006388889,1,4,1.76,24,El Pistolero, Spain,136.71,1
15,2006,OSCAR PEREIRO SIO,1,89h 40' 27'',2272.840273,40.78097557,89,40,27,CAISSE D'EPARGNE-ILLES BALEARS,97,322827,+ 89h 40' 27'',42,40.784,93,Caisse d'Epargne–Illes Balears,89.67416667,0.008888889,0,8,1.77,28,, Spain,149.94,1
16,1998,MARCO PANTANI,1,92h 49' 46'',2408.328154,41.74322084,92,49,46,MERCATONE UNO - BIANCHI,21,334186,-,44,39.983,85,Mercatone Uno–Bianchi,92.82944444,0.050833333,2,7,1.72,28,"Il Pirata (The pirate), Elefantino (The little elephant)", Italy,125.685,1
17,1997,JAN ULLRICH,1,100h 30' 35'',2454.940957,39.29968079,100,30,35,TEAM DEUTSCHE TELEKOM,8,361835,-,44,39.237,84,Team Telekom,100.5097222,0.1525,2,12,1.83,23,"Der Kaiser, Der Jan, Der Junge, The Yoyo", Germany,160.965,1
18,1996,BJARNE RIIS,1,95h 57' 16'',2339.96271,39.23736959,95,57,16,TEAM DEUTSCHE TELEKOM,21,345436,-,44,39.227,83,Team Telekom,95.95444444,0.016944444,2,13,1.84,32,"Ørnen fra Herning
(The Eagle from Herning)", Denmark,156.555,1
19,1995,MIGUEL INDURAIN,1,92h 44' 59'',2259.167185,39.19149204,92,44,59,BANESTO,1,333899,-,42,39.193,82,Banesto,92.74972222,0.067777778,2,13,1.86,30,"Miguelón, Big Mig (English)", Spain,176.4,1
20,1994,MIGUEL INDURAIN,1,103h 38' 38'',2472.34307,38.38142357,103,38,38,BANESTO,1,373118,-,44,38.383,81,Banesto,103.6438889,0.084722222,1,13,1.86,29,"Miguelón, Big Mig (English)", Spain,176.4,1
21,1993,MIGUEL INDURAIN,1,95h 57' 09'',2308.266004,38.70665173,95,57,9,BANESTO,1,345429,-,42,38.709,80,Banesto,95.9525,0.067777778,2,14,1.86,28,"Miguelón, Big Mig (English)", Spain,176.4,1
22,1992,MIGUEL INDURAIN,1,100h 49' 30'',2475.45059,39.50409125,100,49,30,BANESTO,1,362970,-,44,39.504,79,Banesto,100.825,0.067777778,3,10,1.86,27,"Miguelón, Big Mig (English)", Spain,176.4,1
23,1991,MIGUEL INDURAIN,1,101h 01' 20'',2432.566812,38.74395073,101,1,20,BANESTO,35,363680,-,46,38.747,78,Banesto,101.0222222,0.050833333,2,10,1.86,26,"Miguelón, Big Mig (English)", Spain,176.4,1
24,1990,GREG LEMOND,1,90h 43' 20'',2177.750155,38.62339253,90,43,20,Z-PEUGEOT,1,326600,-,44,38.621,77,Z–Tomasso,90.72222222,0.033888889,0,2,1.78,29,"L’Americain, LeMonster", United States,147.735,1
25,1989,GREG LEMOND,1,87h 38' 35'',2041.640771,37.48157774,87,38,35,ADR-AGRIGEL-BOTTECCHIA,141,315515,-,44,37.487,76,AD Renting–W-Cup–Bottecchia,87.64305556,0.002222222,3,8,1.78,28,"L’Americain, LeMonster", United States,147.735,1
26,1988,PEDRO DELGADO,1,84h 27' 53'',2042.262275,38.90381586,84,27,53,REYNOLDS,171,304073,-,46,38.909,75,Reynolds,84.46472222,0.118611111,1,11,1.71,28,Perico, Spain,141.12,1
27,1987,STEPHEN ROCHE,1,115h 27' 42'',2629.583592,36.64419649,115,27,42,CARRERA JEANS,11,415662,-,52,36.645,74,Carrera Jeans–Vagabond,115.4616667,0.011111111,1,3,1.75,27,, Ireland,163.17,1
28,1986,GREG LEMOND,1,110h 35' 19'',2544.437539,37.02008696,110,35,19,LA VIE CLAIRE-WONDER-RADAR,7,398119,-,48,37.02,73,La Vie Claire,110.5886111,0.050833333,1,7,1.78,25,"L’Americain, LeMonster", United States,147.735,1
29,1985,BERNARD HINAULT,1,113h 24' 23'',2553.760099,36.23252658,113,24,23,LA VIE CLAIRE-WONDER-RADAR,11,408263,-,48,36.232,72,La Vie Claire,113.4063889,0.016944444,2,16,1.74,30,"Le Blaireau (The Badger), Le Patron (The Boss)", France,136.71,1
30,1984,LAURENT FIGNON,1,112h 03' 40'',2499.067744,35.88220713,112,3,40,RENAULT-ELF,1,403420,-,48,35.882,71,Renault–Elf,112.0611111,0.169444444,5,7,1.74,23,Le Professeur (The Professor), France,147.735,1
31,1983,LAURENT FIGNON,1,105h 07' 52'',2367.308888,36.23094971,105,7,52,RENAULT-ELF-GITANE,15,378472,-,46,36.23,70,Renault–Elf,105.1311111,0.067777778,1,6,1.74,22,Le Professeur (The Professor), France,147.735,1
32,1982,BERNARD HINAULT,1,92h 08' 46'',2179.614667,38.05912108,92,8,46,RENAULT-GITANE,1,331726,-,46,38.059,69,Renault–Elf–Gitane,92.14611111,0.101666667,4,12,1.74,27,"Le Blaireau (The Badger), Le Patron (The Boss)", France,136.71,1
33,1981,BERNARD HINAULT,1,91h 34' 14'',2332.504661,40.98479011,91,34,14,RENAULT-GITANE,131,329654,-,50,38.96,68,Renault–Elf–Gitane,96.32722222,0.237222222,5,18,1.74,26,"Le Blaireau (The Badger), Le Patron (The Boss)", France,136.71,1
34,1980,JOOP ZOETEMELK,1,109h 19' 14'',2387.818521,35.14435122,109,19,14,TI-RALEIGH-CREDA,11,393554,-,50,35.144,67,TI–Raleigh–Creda,109.3205556,0.101666667,2,10,1.73,33,Joop, Netherlands,149.94,1
35,1979,BERNARD HINAULT,1,103h 06' 50'',2339.96271,36.51302497,103,6,50,RENAULT-GITANE,1,371210,-,50,36.513,66,Renault–Gitane,103.1138889,0.220277778,7,17,1.74,24,"Le Blaireau (The Badger), Le Patron (The Boss)", France,136.71,1
36,1978,BERNARD HINAULT,1,108h 18' 00'',2428.837787,36.08494922,108,18,0,RENAULT-GITANE,51,389880,-,50,36.084,65,Renault–Gitane–Campagnolo,108.3,0.050833333,3,3,1.74,23,"Le Blaireau (The Badger), Le Patron (The Boss)", France,136.71,1
37,1977,BERNARD THEVENET,1,115h 38' 30'',2545.680547,36.09587968,115,38,30,PEUGEOT-ESSO-MICHELIN,21,416310,-,56,35.419,64,Peugeot–Esso–Michelin,115.6416667,0.013333333,1,8,,29,Nanard, France,,1
38,1976,LUCIEN VAN IMPE,1,116h 22' 23'',2496.581728,35.115768,116,22,23,GITANE-CAMPAGNOLO,11,418943,-,54,34.518,63,Gitane–Campagnolo,116.3730556,0.067777778,1,12,,29,de kleine van Mere, Belgium,127.89,1
39,1975,BERNARD THEVENET,1,114h 35' 31'',2486.016159,34.90646764,114,35,31,PEUGEOT-BP,51,412531,-,50,34.906,62,Peugeot–BP–Michelin,114.5919444,0.033888889,2,8,,27,Nanard, France,,1
40,1974,EDDY MERCKX,1,116h 16' 58'',2546.923555,35.24167618,116,16,58,MOLTENI,1,418618,-,54,35.241,61,Molteni,116.2827778,0.135555556,8,18,1.82,29,The Cannibal, Belgium,163.17,1
41,1973,LUIS OCANA,1,122h 25' 34'',2541.951523,34.06464509,122,25,34,BIC,51,440734,-,54,33.407,60,Bic,122.4261111,0.254166667,6,14,1.65,28,, Spain,114.66,1
42,1972,EDDY MERCKX,1,108h 17' 18'',2390.304537,35.51629138,108,17,18,MOLTENI,1,389838,-,50,35.514,59,Molteni,108.2883333,0.169444444,6,15,1.82,27,The Cannibal, Belgium,163.17,1
43,1971,EDDY MERCKX,1,96h 45' 14'',2242.386576,37.29049076,96,45,14,MOLTENI,1,348314,-,50,38.084,58,Molteni,96.75388889,0.1525,4,17,1.82,26,The Cannibal, Belgium,163.17,1
44,1970,EDDY MERCKX,1,119h 31' 49'',2643.878185,35.58930908,119,31,49,FAEMA-FAEMINO,1,430309,-,58,35.589,57,Faemino–Faema,119.5302778,0.203333333,8,20,1.82,25,The Cannibal, Belgium,163.17,1
45,1969,EDDY MERCKX,1,116h 16' 02'',2558.732132,35.65333904,116,16,2,FAEMA,51,418562,-,52,35.409,56,Faema,116.2672222,0.288055556,6,18,1.82,24,The Cannibal, Belgium,163.17,1
46,1968,JAN JANSSEN,1,133h 49' 42'',2791.796147,33.5653885,133,49,42,NEDERLAND,94,481782,-,52,33.556,55,Pelforth–Sauvage–Lejeune,133.8283333,0.010555556,2,1,,28,, Netherlands,,1
47,1967,ROGER PINGEON,1,136h 53' 50'',2970.167806,35.18188678,136,53,50,FRANCE,7,492830,-,50,34.756,54,Peugeot–BP–Michelin,136.8972222,0.050833333,1,17,1.82,26,"Le grand échassier, Le plombier-zingueur", France,158.76,1
48,1966,LUCIEN AIMAR,1,117h 34' 21'',2690.490988,36.81983457,117,34,21,FORD-FRANCE-HUTCHINSON,1,423261,-,50,36.76,53,Ford France–Hutchinson,117.5725,0.016944444,0,6,,25,, France,,1
49,1965,FELICE GIMONDI,1,116h 42' 06'',2602.858919,35.88637694,116,42,6,SALVARANI,123,420126,-,48,35.886,52,Salvarani,116.7016667,0.033888889,3,18,1.81,22,The Phoenix, Italy,156.555,1
50,1964,JACQUES ANQUETIL,1,127h 09' 44'',2799.254195,35.4193244,127,9,44,V.C. XII-SAINT RAPHAEL-GITANE-CAMPAGNOLO,1,457784,-,50,35.419,51,Saint-Raphaël–Gitane–Dunlop,127.1622222,0.015277778,4,6,1.76,30,"Monsieur Chrono, Maître Jacques", France,154.35,1
51,1963,JACQUES ANQUETIL,1,113h 30' 05'',2571.783717,36.45770365,113,30,5,V.C. XII-SAINT RAPHAEL-GITANE-DUNLOP,1,408605,-,46,37.092,50,Saint-Raphaël–Gitane–R. Geminiani,113.5013889,0.050833333,4,5,1.76,29,"Monsieur Chrono, Maître Jacques", France,154.35,1
52,1962,JACQUES ANQUETIL,1,114h 31' 54'',2656.308266,37.3171903,114,31,54,ACBB-SAINT RAPHAEL-HELYETT-HUTCHINSON,1,412314,-,48,37.317,49,Saint-Raphaël–Helyett–Hutchinson,114.5316667,0.067777778,2,3,1.76,28,"Monsieur Chrono, Maître Jacques", France,154.35,1
53,1961,JACQUES ANQUETIL,1,122h 01' 33'',2732.753263,36.03335359,122,1,33,FRANCE,14,439293,-,44,36.033,48,France,122.0258333,0.203333333,2,21,1.76,27,"Monsieur Chrono, Maître Jacques", France,154.35,1
54,1960,GASTONE NENCINI,1,112h 08' 42'',2593.536358,37.21075393,112,8,42,ITALIE,72,403722,-,44,37.21,47,Italy,112.145,0.084722222,0,14,,30,"Il Leone del Mugello, Faccia di fatica (Fatigue-face)", Italy,,1
55,1959,FEDERICO BAHAMONTES,1,123h 46' 45'',2708.514605,35.20786347,123,46,45,ESPAGNE,81,445605,-,44,35.474,46,Spain,123.7791667,0.067777778,1,6,,30,The Eagle of Toledo, Spain,,1
56,1958,CHARLY GAUL,1,116h 59' 05'',2684.275948,36.91935082,116,59,5,PAYS BAS-LUXEMBOURG,91,421145,-,48,36.919,45,Luxembourg,116.9847222,0.050833333,4,2,1.73,25,Angel of the Mountains, Luxembourg,141.12,1
57,1957,JACQUES ANQUETIL,1,135h 44' 42'',2901.802362,34.39537368,135,44,42,France,2,488682,-,48,34.52,44,France,135.745,0.237222222,4,15,1.76,23,"Monsieur Chrono, Maître Jacques", France,154.35,1
58,1956,ROGER WALKOWIAK,1,124h 01' 16'',2795.525171,36.26801889,124,1,16,NORD EST-CENTRE,80,446476,-,46,36.268,43,France,124.0211111,0.016944444,0,8,,29,Walko, France,,1
59,1955,LOUISON BOBET,1,130h 29' 26'',2793.660659,34.44693741,130,29,26,FRANCE,1,469766,-,46,34.446,42,France,130.4905556,0.067777778,2,6,1.79,30,"Louison, Zonzon", France,165.375,1
60,1954,LOUISON BOBET,1,140h 06' 05'',2893.722809,33.23307525,140,6,5,FRANCE,1,504365,-,50,33.229,41,France,140.1013889,0.254166667,3,14,1.79,29,"Louison, Zonzon", France,165.375,1
